qn1k,qn1a,numppl,qn1b,qn1c,qn1d,qn1f,qn1g,qn1h,qn1i,qn1jyear,qn1l,qn2a,qn2b,qn3a,qn3b,qn4a,qn4b,qn4c,qn4e,qn4j,qn20,qn24a,qn24b,qn25a,qn25b,qn25c,qn25d,qn28a,qn28b,cohort,ui_agect_arrival,ui_school,ui_emprate
1,1,4,1,1,21,1,2,2,97,2013,2,0,99,1, ,4,3,1,1, ,1,1, ,1, , , ,1,1,2,1,0,1
1,2,4,4,1,70,1,2,2,97,2013, ,0,1,1, ,4,4,1,1, , ,1, ,1, , , ,2,2,2,5,0,3
1,3,4,5,4,14,1,14,98,97,2013,2, , , , , , , , , , , , , , , , , , ,2,1, , 
1,4,4,5,4,1,1,24,24,97, ,1, , , , , , , , , , , , , , , , , , ,2,1, , 
1,1,5,1,1,33,2,16,16,97,2015,2,6,1,5,1,3,1,1,2,2,1,2,98,1, , , ,1,1,3,3,0,1
1,2,5,6,1,26,2,16,16,97,2015, ,9,5,4,10,2,2,2,2,2,1,2,2,2,2,1,1,1,1,3,2,1,1
1,3,5,2,1,998,1,16,16,97,2015,2, , , , , , , , , , , , , , , , , , ,3,999, , 
1,4,5,4,4,19,2,16,16,97,2015,2,10,98,6,13,2,1,2,1, ,1,1, ,2,2,8,1,1,1,3,1,999,1
1,5,5,4,4,18,2,16,16,97,2015,2,9,97,6,13,2,2,2,1, , ,1, ,2,2,8,1,1,1,3,1,999,2
1,1,3,1,2,42,2,16,16,97,2015, ,12,5,5,97,3,3,1,1, ,1,1, ,1, , , ,1,1,3,4,0,1
1,2,3,4,4,19,2,16,16,97,2015,2,9,5,6,13,3,2,2,6, ,98,8, ,2,2,1,1,1,1,3,1,1,2
1,3,3,4,4,24,2,16,16,97,2015,2,0,1,5,6,4,3,1,2,1,1,1, ,1, , , ,1,1,3,2,0,1
1,1,4,1,1,998,1,2,98,97,2014, ,0,1,5,96,4,3,1,1, ,98,1, ,1, , , ,1,1,2,999,0,1
1,2,4,2,1,998,2,2,2,97,2014,1, , , , , , , , , , , , , , , , , , ,2,999, , 
1,3,4,4,4,998,1,14,97,97,2014,8, , , , , , , , , , , , , , , , , , ,2,999, , 
1,4,4,4,4,998,2,14,97,97,2014,1, , , , , , , , , , , , , , , , , , ,2,999, , 
1,1,3,1,1,31,1,5,5,10,2011, ,6,6,5,4,3,2,2,2,1,98,1, ,1, , , ,1,1,2,3,0,1
1,2,3,2,1,31,2,5,5,10,2011,2,5,6,5,10,3,2,2,2,1,1,2,3,1, , , ,1,1,2,3,0,1
1,1,3,1,1,61,1,10,10,1,2014,2,16,6,2,5,4,3,1,2,2, ,1, ,1, , , ,1,1,3,5,0,3
1,2,3,2,1,60,2,10,10,1,2014,2,16,6,2,5,2,1,1,1, ,98,1, ,1, , , ,1,1,3,5,0,1
1,3,3,4,4,22,2,10,10,1,2014, ,15,4,6,13,2,1,1,1, ,98,1, ,2,2,3,1,1,1,3,2,3,1
1,1,5,1,3,52,2,10,10,1,2015, ,20,6,8,4,1,1,1,1, ,97,1, ,1, , , ,1,1,3,4,0,1
1,2,5,4,4,17,1,10,10,1,2015,2,11,5,6,13,1,1,1,6, ,1,1, ,2,2,1,1,1,1,3,1,1,1
1,3,5,4,4,16,2,10,10,1,2015,2,10,5,6,13,1,1,1,6, , ,1, ,2,2,1,1,1,1,3,1,1,3
1,4,5,6,4,44,2,10,10,1,2015,2,16,6,4,2,1,1,1,1, , ,1, ,1, , , ,2,2,3,4,0,3
1,5,5,5,5,73,2,10,10,1,2015,2,12,6,2,5,3,3,1,1, , ,1, ,1, , , ,2,2,3,5,0,3
1,1,3,1,4,30,1,10,10,1, ,8, , , , , , , , , , , , , , , , , , ,3,3, , 
1,2,3,15,4,26,1,10,10,8,2015, ,0,1,4,97,3,3,1,1, ,1,1, ,1, , , ,1,1,3,2,0,1
1,3,3,15,4,22,1,10,10,1,2014,2,99,5,5,98,3,2,1,1, ,98,1, ,2,2,8,1,1,1,3,2,999,2
1,1,4,1,1,22,2,16,16,97,2015, ,5,1,5,10,2,2,2,1, ,1,1, ,1, , , ,1,1,3,2,0,1
1,2,4,5,1,31,2,16,16,97,2015,2,0,98,5,97,4,4,1,1, , ,2,1,1, , , ,1,2,3,3,0,2
1,3,4,4,4,2,1,97,16,97,2015,2, , , , , , , , , , , , , , , , , , ,3,0, , 
1,4,4,4,4,5,2,97,16,97,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
1,1,5,1,1,43,1,2,96,40,2011, ,14,5,1, ,2,2,1,1, ,97,1, ,1, , , ,1,1,1,3,0,1
1,2,5,2,1,40,2,2,96,40,2011,2,10,2,1, ,3,3,1,1, ,97,1, ,1, , , ,1,1,1,3,0,1
1,3,5,4,4,13,2,14,96,40,2011,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,4,5,4,4,11,1,14,96,40,2011,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,5,5,4,4,2,2,24,96,40,2013,2, , , , , , , , , , , , , , , , , , ,1,0, , 
1,1,3,1,1,29,1,2,96,97,2013, ,7,2,4,13,2,1,1,1, ,4,1, ,1, , , ,1,1,2,3,0,1
1,2,3,2,1,24,2,2,96,97,2013,2,7,2,4,13,3,2,1,6, ,3,1, ,1, , , ,1,1,2,2,0,1
1,3,3,4,4,5,2,14,96,97,2013,2, , , , , , , , , , , , , , , , , , ,2,1, , 
1,1,1,1,4,27,1,10,10,1,2015, ,9,5,4,7,3,2,1,2,1,1,1, ,2,2,5,1,1,2,3,3,5,1
1,1,3,1,1,30,1,2,24,97,2011, ,14,6,8,5,3,2,2,1, ,1,1, ,1, , , ,1,1,1,2,0,1
1,2,3,2,1,28,2,2,24,97,2011,2,12,5,6,13,3,2,2,1, , ,1, ,1, , , ,2,1,1,2,0,3
1,1,5,1,1,31,1,2,96,97,2012, ,4,2,4,9,4,3,1,1, ,2,2,5,1, , , ,2,2,2,3,0,3
1,2,5,2,1,30,2,2,96,97,2012,2,4,2,5,97,4,3,1,1, , ,1, ,1, , , ,1,1,2,3,0,3
1,3,5,4,4,7,2,14,96,97,2012,2, , , , , , , , , , , , , , , , , , ,2,1, , 
1,4,5,4,4,2,2,24,96,97,2012,2, , , , , , , , , , , , , , , , , , ,2,0, , 
1,5,5,4,4,1,2,24,96,97,2015,2, , , , , , , , , , , , , , , , , , ,2,0, , 
1,2,3,2,1,22,2,10,10,1,2014,2,18,5,1, ,3,3,1,1, , ,1, ,1, , , ,1,1,1,2,0,3
1,1,1,1,3,39,1,10,10,97,2012, ,9,2,4,3,3,3,2,1, ,1,1, ,1, , , ,2,2,2,3,0,2
1,1,3,1,1,55,1,2,2,40,2012, ,0,1,1, ,4,4,1,1, , ,1, ,1, , , ,1,2,2,4,0,3
1,2,3,2,1,998,2,2,2,40,2012,2, , , , , , , , , , , , , , , , , , ,2,999, , 
1,3,3,4,4,22,1,14,24,40,2012,2,11,1,6,13,3,3,1,8,2,1,1, ,2,2,5,1,1,1,2,1,5,1
1,1,4,1,4,32,2,97,97,97,2011,2,6,98,2,98,4,3,2,1, ,4,1, ,1, , , ,1,1,3,3,0,1
1,2,4,15,4,33,1,97,97,97,2014, ,10,4,2,97,3,3,1,2,1,1,1, ,1, , , ,1,1,3,3,0,1
1,3,4,15,4,32,1,97,97,97,2013,2,10,6,2,5,3,3,8,8,1,1,1, ,1, , , ,1,1,3,3,0,2
1,4,4,3,4,29,1,97,97,97,2011,1, , , , , , , , , , , , , , , , , , ,3,2, , 
1,1,5,1,1,42,1,10,10,1,2013, ,18,6,1, ,4,3,1,2,2,1,1, ,2,1, , ,1,1,2,3, ,1
1,2,5,2,1,41,2,10,10,1,2013,2,16,6,2,5,1,1,1,1, , ,1, ,2,2,5,1,2,2,2,3,5,3
1,3,5,4,4,18,2,10,10,1,2013,2,8,5,6,13,3,1,1,1, , ,1, ,2,2,1,1,1,1,2,1,1,3
1,4,5,4,4,18,2,10,10,1,2013,2,4,1,6,13,3,1,1,1, , ,1, ,2,2,1,1,1,1,2,1,1,3
